location,latitude,longitude
Norway_Lake,44.214939,-70.579784
Searmont,44.3513,-69.1497
Bethel,44.4045,-70.7899
Gulf_of_Maine_Research_Institute,43.651978,-70.256345
North_Haven,44.132383,-68.875304
Newport,44.837776,-69.283888
Hamlin_Marine,44.5199,-69.6681
